Capital / Estado,Nome,Encontrou regulamentação da LAI?,"Se sim, número da regulamentação","Se sim, link da regulamentação"
Capital,Rio Branco (AC),Sim,1.915,http://portalcgm.riobranco.ac.gov.br/lai/wp-content/uploads/images/ARQUIVOS/principal/LEI-1915_DISPOE_SOBRE_O_ACESSO_A_INF._LF_12.527-2011.pdf
Capital,Macapá (AP),Sim,2.265,https://4fdfdc7ecc7eac3fcdc8af2e4ed6ae07.cdn.bubble.io/f1742907509678x375668694726590140/Lei-de-Acesso-a-Informacao-Municipal-LAI.pdf
Capital,Maceió (AL),Sim,8.052,https://cdnpm.dhost.cloud/documentos/DECRETO-MUNICIPAL-8.052-2015-1.pdf
Capital,Teresina (PI),Sim,14.605,https://esic.teresina.pi.gov.br/doc/Dec.%20M.%2014.605-2014%20Reg.%20LIA.pdf
Capital,São Paulo (SP),Sim,53.623,https://legislacao.prefeitura.sp.gov.br/leis/decreto-53623-de-12-de-dezembro-de-2012
Capital,Palmas (TO),Sim,2013,https://legislativo.palmas.to.gov.br/media/leis/DECRETO%20N%C2%BA%20462-2013%20de%2016-05-2013%2015-22-39.pdf
Capital,Natal (RN),Sim,10.087,https://leideacesso.natal.rn.gov.br//manual/decreto.php
Capital,Manaus (AM),Sim,4157,https://leismunicipais.com.br/a/am/m/manaus/decreto/2018/415/4157/decreto-n-4157-2018-regulamenta-o-acesso-as-informacoes-no-ambito-do-poder-executivo-do-municipio-de-manaus-e-da-outras-providencias
Capital,Salvador (BA),Sim,8460,https://leismunicipais.com.br/a/ba/s/salvador/lei-ordinaria/2013/846/8460/lei-ordinaria-n-8460-2013-regulamenta-o-acesso-a-informacao-previsto-no-inciso-xxxiii-do-art-5-inciso-ii-do-3-do-art-37-e-2-do-art-216-todos-da-constituicao-da-republica-de-acordo-com-o-determinado-no-art-45-da-lei-federal-n-12527-de-18-de-novembro-de-2011
Capital,Curitiba (PR),Sim,1.370,https://mid.curitiba.pr.gov.br/2023/00405139.pdf
Capital,Boa Vista (RR),Sim,2013,https://publicacoes.boavista.rr.gov.br/ler/ato-normativo/43
Capital,Porto Velho (RO),Sim,14.565,https://sapl.portovelho.ro.leg.br/norma/8889 
Capital,Belém (PA),Sim,83857,https://sistemas.belem.pa.gov.br/leisedecretos/#/visualizacao/3019
Capital,Vitória (ES),Sim,8.286,"https://sistemas.vitoria.es.gov.br/atosnormativos/arquivos/2012/L8286.PDF
https://sistemas.vitoria.es.gov.br/atosnormativos/arquivos/2012/D15520.PDF"
Capital,João Pessoa (PB),Sim,12.645,https://transparencia.joaopessoa.pb.gov.br:8080/leis-download?id=13
Capital,Porto Alegre (RS),Sim,19.990,https://transparencia.portoalegre.rs.gov.br/sites/default/files/usu_doc/sobre-portal/Legisla%C3%A7%C3%B5es%20relacionadas/decreto_oficial_lei_de_acesso_19_990.pdf
Capital,Recife (PE),Sim,2013,"https://transparencia.recife.pe.gov.br/uploads/leis/Lei17866_2013.php
https://transparencia.recife.pe.gov.br/codigos/web/lai/DecretoNo_28527_4_de_janeiro_de_2015_-_Regulamenta%20o%20Acesso.pdf"
